# E          s-dos       p-dos       d-dos       f-dos
-3.3000e+00  1.2021e-01  7.1010e-01  6.4621e+00  7.9244e-02
-3.2000e+00  1.1077e-01  7.9465e-01  6.6373e+00  8.4887e-02
-3.1000e+00  1.2835e-01  9.0200e-01  6.6749e+00  9.6953e-02
-3.0000e+00  1.8349e-01  9.0623e-01  6.4035e+00  1.1399e-01
-2.9000e+00  2.7888e-01  9.2601e-01  6.0819e+00  1.3434e-01
-2.8000e+00  3.6889e-01  9.5156e-01  5.6139e+00  1.5626e-01
-2.7000e+00  4.0636e-01  1.0544e+00  5.1463e+00  1.7507e-01
-2.6000e+00  4.3837e-01  1.2549e+00  4.9578e+00  2.1453e-01
-2.5000e+00  4.1398e-01  1.2540e+00  4.4029e+00  2.2719e-01
-2.4000e+00  3.6425e-01  1.1546e+00  3.8333e+00  2.2173e-01
-2.3000e+00  2.3124e-01  8.8730e-01  3.0520e+00  1.8167e-01
-2.2000e+00  1.5700e-01  7.8054e-01  3.2085e+00  1.8172e-01
-2.1000e+00  1.6085e-01  8.7670e-01  4.0798e+00  2.4524e-01
-2.0000e+00  1.5935e-01  9.1439e-01  4.1982e+00  2.7935e-01
-1.9000e+00  1.3072e-01  9.8527e-01  3.7122e+00  2.9010e-01
-1.8000e+00  6.1103e-02  8.9895e-01  2.6140e+00  2.5920e-01
-1.7000e+00  6.5356e-02  9.4197e-01  2.7529e+00  3.1967e-01
-1.6000e+00  7.9899e-02  7.8055e-01  2.8242e+00  3.4114e-01
-1.5000e+00  9.4972e-02  6.1898e-01  2.9310e+00  3.5961e-01
-1.4000e+00  6.9719e-02  3.6593e-01  2.3064e+00  2.9001e-01
-1.3000e+00  4.2813e-02  2.2585e-01  1.7727e+00  2.1687e-01
-1.2000e+00  1.9021e-02  1.2302e-01  1.1812e+00  1.2525e-01
-1.1000e+00  7.5867e-03  4.7712e-02  6.1681e-01  4.9718e-02
-1.0000e+00  2.6036e-03  1.7600e-02  2.2833e-01  1.7801e-02
